# Time [sec]	Mcl_IO.Speed_Rot_Ref	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.IsRMS	Rotor_Curr_Id	Rotor_Curr_Iq	Mcl_Quantities.Flux_Ref
1119.11	0	0	0	0	0.00457997	-3.13007	0.0384701	0.0348544
1119.14	0	0	0	0	0.00457997	-3.13007	0.0384701	0.0348544
1119.22	0	0	0	0	0.00446576	-3.13007	0.0384701	0.0348544
1119.25	0	0	0	0	0.00446576	-3.13007	0.0384701	0.0348544
1119.3	0	0	0	0	0.00446576	-3.13007	0.0384701	0.0348544
1119.36	0	0	0	0	0.00446576	-3.13007	0.0384701	0.0348544
1119.41	0	0	0	0	0.00446576	-3.13007	0.0384701	0.0348544
1119.47	0	0	0	0	0.00456449	-3.13007	0.0384701	0.0348544
1119.52	0	0	0	0	0.00456449	-3.13007	0.0384701	0.0348544
1119.56	0	0	0	0	0.00456449	-3.13007	0.0384701	0.0348544
1119.61	0	0	0	0	0.00456449	-3.13007	0.0384701	0.0348544
1119.66	0	0	0	0	0.00456449	-3.13007	0.0384701	0.0348544
1119.72	0	0	0	0	0.00444222	-3.13007	0.0384701	0.0348544
1119.75	0	0	0	0	0.00444222	-3.13007	0.0384701	0.0348544
1119.81	0	0	0	0	0.00444222	-3.13007	0.0384701	0.0348544
1119.86	0	0	0	0	0.00444222	-3.13007	0.0384701	0.0348544
1119.89	0	0	0	0	0.00444222	-3.13007	0.0384701	0.0348544
1119.97	0	0	0	0	0.0046085	-3.13007	0.0384701	0.0348544
1120	0	0	0	0	0.0046085	-3.13007	0.0384701	0.0348544
1120.06	0	0	0	0	0.0046085	-3.13007	0.0384701	0.0348544
1120.11	0	0	0	0	0.0046085	-3.13007	0.0384701	0.0348544
1120.14	0	0	0	0	0.0046085	-3.13007	0.0384701	0.0348544
1120.22	0	0	0	0	0.00472093	-3.13007	0.0384701	0.0348544
1120.27	0	0	0	0	0.00472093	-3.13007	0.0384701	0.0348544
1120.3	0	0	0	0	0.00472093	-3.13007	0.0384701	0.0348544
1120.36	0	0	0	0	0.00472093	-3.13007	0.0384701	0.0348544
1120.41	0	0	0	0	0.00472093	-3.13007	0.0384701	0.0348544
1120.47	0	0	0	0	0.00447046	-3.13007	0.0384701	0.0348544
1120.52	0	0	0	0	0.00447046	-3.13007	0.0384701	0.0348544
1120.56	0	0	0	0	0.00447046	-3.13007	0.0384701	0.0348544
1120.61	0	0	0	0	0.00447046	-3.13007	0.0384701	0.0348544
1120.64	0	0	0	0	0.00447046	-3.13007	0.0384701	0.0348544
1120.72	0	0	0	0	0.00451249	-3.13007	0.0384701	0.0348544
1120.75	0	0	0	0	0.00451249	-3.13007	0.0384701	0.0348544
1120.8	0	0	0	0	0.00451249	-3.13007	0.0384701	0.0348544
1120.86	0	0	0	0	0.00451249	-3.13007	0.0384701	0.0348544
1120.89	0	0	0	0	0.00451249	-3.13007	0.0384701	0.0348544
1120.97	0	0	0	0	0.00465493	-3.13007	0.0384701	0.0348544
1121	0	0	0	0	0.00465493	-3.13007	0.0384701	0.0348544
1121.08	0	0	0	0	0.00465493	-3.13007	0.0384701	0.0348544
1121.11	0	0	0	0	0.00465493	-3.13007	0.0384701	0.0348544
1121.16	0	0	0	0	0.00465493	-3.13007	0.0384701	0.0348544
1121.22	0	0	0	0	0.00479258	-3.13007	0.0384701	0.0348544
1121.27	0	0	0	0	0.00479258	-3.13007	0.0384701	0.0348544
1121.31	0	0	0	0	0.00479258	-3.13007	0.0384701	0.0348544
1121.36	0	0	0	0	0.00479258	-3.13007	0.0384701	0.0348544
1121.41	0	0	0	0	0.00479258	-3.13007	0.0384701	0.0348544
1121.47	0	0	0	0	0.00461533	-3.13007	0.0384701	0.0348544
1121.5	0	0	0	0	0.00461533	-3.13007	0.0384701	0.0348544
1121.56	0	0	0	0	0.00461533	-3.13007	0.0384701	0.0348544
1121.61	0	0	0	0	0.00461533	-3.13007	0.0384701	0.0348544
1121.64	0	0	0	0	0.00461533	-3.13007	0.0384701	0.0348544
1121.72	0	0	0	0	0.00441379	-3.13007	0.0384701	0.0348544
1121.75	0	0	0	0	0.00441379	-3.13007	0.0384701	0.0348544
1121.8	0	0	0	0	0.00441379	-3.13007	0.0384701	0.0348544
1121.86	0	0	0	0	0.00441379	-3.13007	0.0384701	0.0348544
1121.89	0	0	0	0	0.00441379	-3.13007	0.0384701	0.0348544
1121.97	0	0	0	0	0.00441379	-3.13007	0.0384701	0.0348544
1122.02	0	0	0	0	0.00447339	-3.13007	0.0384701	0.0348544
1122.05	0	0	0	0	0.00447339	-3.13007	0.0384701	0.0348544
1122.11	0	0	0	0	0.00447339	-3.13007	0.0384701	0.0348544
1122.16	0	0	0	0	0.00447339	-3.13007	0.0384701	0.0348544
1122.22	0	0	0	0	0.00447339	-3.13007	0.0384701	0.0348544
1122.27	0	0	0	0	0.0045478	-3.13007	0.0384701	0.0348544
1122.31	0	0	0	0	0.0045478	-3.13007	0.0384701	0.0348544
1122.36	0	0	0	0	0.0045478	-3.13007	0.0384701	0.0348544
1122.39	0	0	0	0	0.0045478	-3.13007	0.0384701	0.0348544
1122.47	0	0	0	0	0.0045478	-3.13007	0.0384701	0.0348544
1122.52	0	0	0	0	0.00455068	-3.13007	0.0384701	0.0348544
1122.56	0	0	0	0	0.00455068	-3.13007	0.0384701	0.0348544
1122.59	0	0	0	0	0.00455068	-3.13007	0.0384701	0.0348544
