Time,Voltage
343,.8602582
344,.8672875
345,.8734811
346,.8785101
347,.8821035
348,.8840636
349,.8842782
350,.8827282
351,.8794841
352,.8747035
353,.868616
354,.8615067
355,.8536943
356,.8455094
357,.8372704
358,.8292598
359,.821709
360,.8147814
361,.8085667
362,.803076
363,.7982488
364,.7939616
365,.7900422
366,.7862902
367,.7824939
368,.7784538
369,.7739981
370,.7690001
371,.7633879
372,.7571494
373,.7503331
374,.7430406
375,.7354175
376,.7276373
377,.7198847
378,.7123386
379,.7051532
380,.6984453
381,.6922829
382,.6866797
383,.6815922
384,.6769274
385,.6725498
386,.6682968
387,.6639922
388,.6594651
389,.6545662
390,.6491821
391,.643246
392,.6367449
393,.6297206
394,.6222661
395,.6145163
396,.6066359
397,.5988038
398,.5911945
399,.5839636
400,.5772309
401,.5710689
402,.565497
403,.5604776
404,.5559193
405,.551688
406,.5476151
407,.5435171
408,.5392115
409,.5345343
410,.5293565
411,.523596
412,.5172261
413,.5102794
414,.5028427
415,.4950524
416,.4870785
417,.4791107
418,.4713379
419,.4639319
420,.4570285
421,.4507149
422,.445019
423,.4399064
424,.4352827
425,.4310009
426,.4268741
427,.422694
428,.418249
429,.4133459
430,.407827
431,.4015873
432,.3945848
433,.3868459
434,.3784634
435,.3695898
436,.3604233
437,.3511893
438,.3421189
439,.3334273
440,.3252925
441,.3178368
442,.3111138
443,.3051017
444,.2997034
445,.2947543
446,.2900362
447,.285297
448,.2802744
449,.2747213
450,.2684291
451,.2612505
452,.2531143
453,.2440355
454,.2341163
455,.2235387
456,.2125503
457,.201442
458,.1905219
459,.1800861
460,.1703901
461,.1616227
462,.1538854
463,.1471798
464,.1414039
465,.1363575
466,.1317584
467,.1272662
468,.1225123
469,.117135
470,.1108143
471,.1033048
472,9.446315E-02
473,8.426669E-02
474,.0728218
475,6.036038E-02
476,4.722489E-02
477,3.384135E-02
478,2.068417E-02
479,8.233698E-03
480,-3.068381E-03
481,-.0128629
482,-2.091185E-02
483,-2.712799E-02
484,-.0315927
